score,game
460738.5,2
433024.0,4
345650.0,6
471554.0,8
427596.5,10
361655.5,12
417321.0,14
379456.5,16
506173.0,18
344745.0,20
352173.0,22
368931.5,24
406389.0,26
414971.5,28
388335.0,30
400768.0,32
430070.0,34
437083.0,36
387505.5,38
370223.0,40
428205.5,42
410007.0,44
398481.0,46
377691.0,48
394493.0,50
427454.0,52
448116.5,54
437798.5,56
437822.5,58
388600.0,60
483146.5,62
374233.5,64
416615.5,66
459973.5,68
367123.0,70
450814.5,72
539553.5,74
405428.5,76
411026.5,78
364737.5,80
473934.5,82
418949.5,84
436832.0,86
394769.5,88
478900.0,90
407961.5,92
422448.0,94
461741.5,96
426810.5,98
407928.0,100
367821.0,102
469629.5,104
494840.5,106
461814.0,108
430743.5,110
488984.0,112
424905.0,114
436157.0,116
414346.5,118
348911.0,120
431623.5,122
424573.5,124